Common Name,Scientific Name
Silver-Dollar Fern,Adiantum Peruvianum
Maidenhair Fern,Adiantum Raddianum
Rosy Maidenhair Fern,Adiantum Ternerum 'Scutum Roseum'
Diamond Maidenhair Fern,Adiantum Trapeziforme
Living Vase Bromeliad,Aechmea 'Better Than Bert'
Living Vase Bromeliad,Aechmea 'Black Panther'
Living Vase,Aechmea 'Blue Tango'
Bromeliad,Aechmea 'Buckwheat'
Living Vase,Aechmea 'Del Mar'
Bromeliad,Aechmea 'Foster'S Favorite'
Bromeliad,Aechmea Blanchetiana
Amazonian Zebra Plant,Aechmea Chantinii
Silver Vase Plant,Aechmea Fasciata
Coralberry,Aechmea Fulgens
Variegated Matchstick Plant,Aechmea Gamosepala 'Lucky Stripe'
Matchstick Bromeliad,Aechmea Gamosepala 
Bromeliad,Aechmea Miniata 
Silver Dragon Alocasia,Alocasia Baginda 'Silver Dragon'
Dragon Scale Alocasia,Alocasia Baginda 'Dragon Scale'
Dwarf Elephant Ear,Alocasia Heterophylla 'Cory Aquino'
Black Velvet Alocasia,Alocasia Reginula 'Black Velvet'
Tiger Elephant Ear,Alocasia Zebrina
Variegated Ginger,Alpinia Vittata
Voodoo Lily,Amorphophallus Bulbifer
Voodoo Lily,Amorphophallus Konjac
Titan Arum,Amorphophallus Titanum 
Anthurium,Anthurium 'Big Red Bird' X A. 'Round Wan'
Anthurium,Anthurium Andraeanum 'White Heart'
Anthurium ,Anthurium Atropurpureum
Anthurium,Anthurium Atropurpureum Var. Arenicola
Anthurium,Anthurium Clarinervium
Anthurium,Anthurium Ensifolium
Anthurium,Anthurium Forgetii
Red Pearls Anthurium,Anthurium Gracile
Anthurium,Anthurium Grandifolium
Red Anthurium,Anthurium Hybrid
Anthurium,Anthurium Magnificum
Anthurium,Anthurium Pedatoradiatum Sub. Helleborifolium
Anthurium,Anthurium Pentaphyllum
Anthurium,Anthurium Podophyllum
King Anthurium,Anthurium Veitchii
Strap-Leafed Anthurium,Anthurium Vittarifolium
Anthurium,Anthurium Willdenowii
Variegated Leather Leaf Fern,Arachniodes Simplicior 'Variegata'
Breadfruit Tree,Artocarpus Altilis 'Ma Afala'
Ming Fern,Asparagus Sp.  
Morning Sun Cast Iron Plant,Aspidistra Elatior 'Asahi'
Cast Iron Plant,Aspidistra Elatior 'Milky Way'
Variegated Cast Iron Plant,Aspidistra Elatior 'Variegata'
Maple Leaf Begonia ,Begonia Cleopatrae
Castor Bean Begonia,Begonia X Ricinifolia
Silvery Trumpet Vine,Bignonia Argyreoviolascens
Bromeliad,Billbergia 'Casablanca'
Rainbow Plant,Billbergia Chlorostica
Queen'S Tears,Billbergia Nutans
Kyoto Flaming Torch,Billbergia Pyramidalis 'Kyoto'
"Fingerroot, Chinese Keys",Bosenbergia Rotunda
Caladium,Caladium 'Poison Dart Frog'
Spotted Elephant Ear,Caladium Praetermissum 'Hilo Beauty'
Zebra Plant,Goeppertia Bella
Rattle Shaker,Calathea Crotalifera 'Yellow Rattleshaker'
Calathea,Goeppertia Majestica 'Wilson'S Princep'
Narrow Strap Fern,Campyloneurum Aglaolepis
Dwarf Ylang Ylang,Cananga Odorata Var. Fruticosa
Mexican Horncone,Ceratozamia Mexicana
Cycad,Ceratozamia Robusta
Metallic Palm,Chamaedorea Metallica
Curare,Chondrodendron Tomentosum
Buddha'S Hand Citron,Citrus Medica 
Sweet Orange,Citrus Sinensis 'Valencia'
Starburst Bush,Clerodendrum Quadriloculare
Cola Tree,Cola Acuminata
Pharaoh'S Mask Elephant Ear,Colocasia 'Cophama'
Dwarf Taro,Colocasia Fallax
Spiral Ginger,Costus Guanaiensis
Spiral Flag Ginger,Costus Afer
Tree Lily,Cubanola Domingensis
Siam Tulip,Curcuma Alismatifolia 'Giant Pink'
Raspberry Siam Tulip,Curcuma Alismatifolia 'Raspberry'
Turmeric,Curcuma Longa
Tuba Root,Derris Elliptica
Fishbone Cactus,Disocactus Anguliger
Orchid Cactus,Disocactus X Hybridus 'Ackermannii'
African Spear,Dracaena Angolensis
Marble Planet Pothos,Epipremnum Pinnatum 'Marble Planet'
Amazon Lily,Urceolina Caucana
Pineapple Lily,Eucomis Comosa
Oak-Leaf Ficus,Ficus Montana
Creeping Fig,Ficus Pumila 'Variegata'
Shaggy Leaved Fig,Ficus Villosa
Variegated Gardenia,Gardenia Jasminoides 'Variegata'
Giraffe'S Knees ,Gonatopus Boivinii
Bromeliad,Goudaea Ospinae Var. Gruberi
Orange Guzmania,Guzmania 
Scarlet Star,Guzmania Lingulata
Mutant Ginger,Hedychium 'Mutant'
Koki'O 'Ula,Hibiscus Clayi
Amaryllis,Hippeastrum 'Dancing Queen'
Bromeliad,Hohenbergia Catingae Var. Elongata
Bromeliad,Hohenbergia Lemei
Giant Bromeliad,Hohenbergia Rosea
Centipede Plant,Homalocladium Platycladum 
Variegated Wax Plant,Hoya Carnosa 'Variegata'
Hybanthus,Pombalia Communis 
Hybanthus,Pombalia Prunifolia
Dragon Fruit,Selenicereus Undatus
Caribbean Spider Lily,Hymenocallis Caribaea
Peacock Ginger,Kaempferia Pulchra 'Pink Lace'
Pink Lantern ,Medinilla Magnifica
Crocodile Fern,Microsorum Musifolium 'Crocodyllus'
Elkhorn Fern,Microsorum Punctatum 'Serratum'
Split-Leaf Philodendron,Monstera Deliciosa
Variegated Split-Leaf Philodendron,Monstera Deliciosa Var. Borsigiana 'Albo'
Swiss Cheese Vine,Monstera Obliqua
Orange Jasmine,Murraya  Paniculata
Goldfish Plant,Nematanthus 'Yellow Maroon'
Dragon Bromeliad,Neoregelia 'Dragon'
Bromeliad ,Neoregelia 'Zoe'
Austin Pretty Limits Oleander,Nerium Oleander 
Kandyan Dancer Orchid,Oncidium Sphacelatum
Variegated Screw Pine,Pandanus Tectorius 'Variegata'
Brazilian Candles,Pavonia X Gledhillii 'Rosea'
String Of Turtles,Peperomia Prostrata
Peperomia,Peperomia Rotundifolia 'Hope'
Florida Green Philodendron,Philodendron 'Florida Green'
Philodendron,Philodendron 'Jungle Boogie'
Philodendron,Philodendron 'Pink Princess'
Philodendron,Philodendron Billietiae
Philodendron,Philodendron Burle-Marxii
Philodendron,Philodendron Copense
Philodendron,Philodendron Gloriosum
Silver Sword Philodendron,Philodendron Hastatum 'Silver Sword'
Flask Philodendron,Philodendron Martianum
Black Gold Philodendron,Philodendron Melanochrysum
Philodendron,Philodendron Pastazanum
Philodendron,Philodendron Plowmanii
Snowflake Philodendron,Philodendron Warscewiczii
Chinese Money Plant,Pilea Peperomioides
Black Pepper,Piper Nigrum
Peruvian Pepper,Piper Unguiculatum
Staghorn Fern,Platycerium Alcicorne
Jaboticaba,Plinia Cauliflora 'Sabara'
Frangipani,Plumeria Rubra
Variegated Ming Aralia,Polyscias Guilfoylei 'Ming Gold'
Bromeliad,Portea 'Candy'
Amethyst Star,Pseuderanthemum Laxiflorum
Hawaiian Moa,Psilotum Nudum
Bromeliad,Quesnelia Marmorata 'Tim Plowman'
Mini Monstera,Rhaphidophora Tetrasperma
Hairy Stemmed Rhipsalis,Rhipsalis Pilocarpa
Bell Weed,Ruellia Prostrata
Mexican Petunia,Ruellia Simplex
Variegated Sugar Cane,Saccharum Officinarum 'Ivory Stripes'
Voodoo Lily,Sauromatum Venosum
Ric Rac Cactus,Selenicereus Anthonyanus
Indonesian Wax Ginger,Tapeinochilos Ananassae
Pink Quill,Wallisia Cyanea
Air Plant,Tillandsia Xerographica X Brachycaulos
Water Banana,Typhonodorum Lindleyanum
Vanilla Orchid,Vanilla Planifolia
Variegated Vanilla Vine,Vanilla Planifolia 'Variegata'
Flaming Sword ,Vriesea 'Splenriet'
Giant Bromeliad,Vriesea Imperialis Green
Painted Feather Bromeliad,Vriesea Simplex X Mariae
Variegated Bromeliad,Vriesea Splendens
Cardboard Palm,Zamia Furfuraceae
Raven Z Z Plant,Zamioculcas Zamiifolia 'Dowon'
White Powder Puff,Zapoteca Portoricensis
Edible Ginger,Zingiber Officianale
Bitter Ginger,Zingiber Zerumbet
Agave Angustifolia Var. Angustifolia ,Agave Angustifolia Var. Angustifolia 
Agave Schottii,Agave Schottii
Dwarf Hedgehog Agave,Agave Stricta 'Nana'
Aloe Sp.,Aloe Sp.
Aloe Unknown,Aloe Unknown
Aloe Unknown,Aloe Unknown
Aloe Unknown,Aloe Unknown
Aloe Unknown,Aloe Unknown
Aloe Unknown,Aloe Unknown
Drimiopsis Maculata,Drimiopsis Maculata
Euphorbia Abyssinica,Euphorbia Abyssinica
Euphorbia Sp.,Euphorbia Sp.
Euphorbia Unknown,Euphorbia Unknown
Euphorbia Unknown Hybrid,Euphorbia Unknown Hybrid
Euphorbia Unknown Hybrid,Euphorbia Unknown Hybrid
Ferocactus Emoryi,Ferocactus Emoryi
Ferocactus Sp.,Ferocactus Sp.
Ferocactus Sp.,Ferocactus Sp.
Ferocactus Unknown,Ferocactus Unknown
Ferocactus Unknown,Ferocactus Unknown
Ferocactus Unknown,Ferocactus Unknown
Ferocactus Unknown,Ferocactus Unknown
Ferocactus Unknown,Ferocactus Unknown
Ferocactus Unknown,Ferocactus Unknown
Ferocactus Unknown,Ferocactus Unknown
Fouquieria Formosa,Fouquieria Formosa
Gasteraloe Unknown,Gasteraloe Unknown
Gasteria Hybrid,Gasteria Hybrid
Gasteria Sp,Gasteria Sp
Gasteria Species,Gasteria Species
Gasteria Species,Gasteria Species
Gasteria Unknown,Gasteria Unknown
Gasterworthia Unknown,Gasterworthia Unknown
Gasterworthia Unknown,Gasterworthia Unknown
Gasterworthia Unknown,Gasterworthia Unknown
Graptopetalum Unknown,Graptopetalum Unknown
Graptoveria #2(?),Graptoveria #2(?)
Graptoveria #3(?),Graptoveria #3(?)
Gymnocalycium Possibly Saglione,Gymnocalycium Possibly Saglione
Gymnocalycium Unknown,Gymnocalycium Unknown
Haworthia Unknown,Haworthia Unknown
Haworthia Unknown,Haworthia Unknown
Haworthiopsis Attenuata Var. Glabrata,Haworthiopsis Attenuata Var. Glabrata
Hectia Argentea,Hectia Argentea
Hectia Sp.,Hectia Sp.
Juttadinteria Suavissima,Juttadinteria Suavissima
Mammillaria Unknown,Mammillaria Unknown
Mammillaria Unknown,Mammillaria Unknown
Mammillaria Unknown,Mammillaria Unknown
Mammillaria Unknown,Mammillaria Unknown
Mammillaria Unknown ,Mammillaria Unknown 
Mammillaria Unknown ,Mammillaria Unknown 
Mammillaria Unknown ,Mammillaria Unknown 
Mammillaria Unknown ,Mammillaria Unknown 
Opuntia Sp.,Opuntia Sp.
Opuntia Unknown,Opuntia Unknown
Raphianacme Flanaganii,Raphianacme Flanaganii
Jelly Bean Plant,Sedum Pachyphyllum 
Senecio Crassisimus,Senecio Crassisimus
Unknown Gasteria,Unknown Gasteria
Bushman Poison ,Adenium Boehmianum 
Aloe Cameronii,Aloe Cameronii
Aloe Harlana,Aloe Harlana
Aloe Jacksonii,Aloe Jacksonii
Aloe Jucunda,Aloe Jucunda
Aloe Maculata ,Aloe Maculata 
Aloe Munchii,Aloe Munchii
Aloe Rivae,Aloe Rivae
Aloe Rivierei,Aloe Rivierei
Aloe Sp.,Aloe Sp.
Aloe 'Hummel Collection',Aloe Sp.
Cylindrical Snake Plant,Dracaena Angolensis
Dracaena Serpenta,Dracaena Serpenta
Dracaena Unknown,Dracaena Unknown
Unknown Euph.,Euphorbia Sp.
Pencil Plant,Euphorbia Tirucalli 
Gasteria Obliqua,Gasteria Obliqua
Gasteria Sp.,Gasteria Sp.
Gasteria Sp.,Gasteria Sp.
Gasteria Sp.,Gasteria Sp.
Gasteria Sp.,Gasteria Sp.
Gasteria Unknown,Gasteria Unknown
Gasteria Unknown,Gasteria Unknown
Gasteria Unknown,Gasteria Unknown
Gasteria Unknown,Gasteria Unknown
Haworthia Sp.,Haworthia Sp.
Paper Spine,Tephrocactus Articulatus
Toothpick Cactus,Stetsonia Coryne
Giant Saguaro  ,Carnegiea Gigantea 
Soap Tree,Yucca Elata
Australian Bottle Tree,Brachychiton Rupestris
Australian Bottle Tree,Brachychiton Sp.
Hohenbergia Magnispina,Hohenbergia Magnispina
Aloe Deltoideodonta,Aloe Deltoideodonta
Mexican Boulder,Calibanus Hookeri
Old Man Cactus,Cephalocereus Senilis 
Copiapoa Gigantea,Copiapoa Gigantea
Tom Grumbley Snake Plant,Dracaena Ballyi 'Tom Grumbley'
Dragon'S Toes,Agave 'Dragon'S Toes'
Variegated Octopus Aloe,Aloe Arborescens 'Variegata'
Dracaena Pethera,Dracaena Pethera
Moonshine Snake Plant,Dracaena Trifasciata 'Moonshine'
Variegated Gasteria ,Gasteria Batesiana 'Variegata'
Variegated Nopal,Nopalea Cochenillifera Forma Variegata
Ferocactus  Glaucescens,Ferocactus  Glaucescens
Wooly Torch Cactus,Pilosocereus Palmeri 
Opuntia Echios,Opuntia Echios
Euphorbia Buruana,Euphorbia Buruana
Aloe Acutissima Var. Antanimorensis,Aloe Acutissima Var. Antanimorensis
Aloe Conifera,Aloe Conifera
Aloe Erythrophylla,Aloe Erythrophylla
Aloe Rauhii,Aloe Rauhii
Didieria Madagascariensis,Didieria Madagascariensis
Euphorbia Aff Croizatii ,Euphorbia Aff Croizatii 
Euphorbia Betrokana,Euphorbia Betrokana
Euphorbia Capsaintemariensis,Euphorbia Capsaintemariensis
Euphorbia Croizatii ,Euphorbia Croizatii 
Euphorbia Decaryi ,Euphorbia Decaryi 
Euphorbia Decaryi Var. Spirosticha,Euphorbia Decaryi Var. Spirosticha
Euphorbia Duranii ,Euphorbia Duranii 
Euphorbia Genoudiana ,Euphorbia Genoudiana 
Euphorbia Hedyotoides,Euphorbia Hedyotoides
Euphorbia Millii Var. Roseana,Euphorbia Millii Var. Roseana
Euphorbia Platyclada,Euphorbia Platyclada
Euphorbia Platyclada Var. Hardyi,Euphorbia Platyclada Var. Hardyi
Euphorbia Sp.,Euphorbia Sp.
Euphorbia Sp.,Euphorbia Sp.
Widow'S Thrill,Kalanchoe Beauverdii
Velvet Elephant Ear,Kalanchoe Beharensis
Silver Teaspoons,Kalanchoe Bracteata
Kalanchoe Dinklagei,Kalanchoe Dinklagei
Copper Spoons,Kalanchoe Orgyalis
Kalanchoe Rhombopilosa,Kalanchoe Rhombopilosa
Kalanchoe Viguieri ,Kalanchoe Viguieri 
Kalanchoe Viguieri Var. Angustisepala,Kalanchoe Viguieri Var. Angustisepala
Kleinia Madagascariensis,Kleinia Madagascariensis
Senecio Descoingsii,Senecio Descoingsii
Senna Meridionalis,Senna Meridionalis
Blue Glow Agave,Agave 'Blue Glow'
White Hair Agave,Agave Albopilosa
Agave Americana Subsp. Americana,Agave Americana Subsp. Americana
Mescal Agave,Agave Angustifolia
Lion'S Tail Agave,Agave Attenuata 
Agave Attenuata Variegata,Agave Attenuata Variegata
Cowhorn Agave,Agave Bovicornuta 'Reggae Time'
Agave Bracteosa,Agave Bracteosa
Agave Mitis,Agave Mitis
Tuberose-Flowered Agave,Agave Polianthiflora
Agave Potatorum,Agave Potatorum
Lucky Crown Agave,Agave Potatorum 'Kissho Kan'
Tequila Agave,Agave Tequilana
Chalk Agave,Agave Titanota
Queen Agave,Agave Victoriae-Reginae
Bishop'S Cap,Astrophytum Myriostigma
Star Plant,Astrophytum Ornatum
Pony Tail Palm,Beaucarnea Recurvata 
Red Echeveria,Echeveria Carnicolor
Echinocereus Brandegeei,Echinocereus Brandegeei
Lady Finger Cactus,Echinocereus Pentalophus
Slipper Plant,Euphorbia Lomelii
Fish-Hook Cactus,Ferocactus Hystrix
Mexican Fire Barrel,Ferocactus Pilosus
Ferocactus Rectispinus,Ferocactus Rectispinus
Lavender Pebbles,Graptopetalum Amethystinum
Graptopetalum Paraguayense,Graptopetalum Paraguayense
Yellow Turk'S Head,Hamatocactus Hamatacanthus Subsp. Hamatacanthus
Prism Cactus,Leuchtenbergia Principis
Old Man Cactus,Lophocereus Schottii
Bird'S Nest Mammillaria,Mammillaria Decipiens
Twin-Spine Cactus,Mammillaria Geminispina
Old Lady Cactus,Mammillaria Hahniana 'Super Clone'
Owl-Eye Pincushion,Mammillaria Parkinsonii
Mammillaria Petterssonii,Mammillaria Petterssonii
Mammillaria Vetula,Mammillaria Vetula
Mexican Fencepost,Lophocereus Marginatus
Cowboy'S Whiskers ,Opuntia Aciculata
Dinner Plate Cactus,Opuntia Robusta
Opuntia Sp.,Opuntia Sp.
Totem Pole Cactus,Lophocereus Schottii F. Monstrosus
Cardon,Pachycereus Sp.
Cardon,Pachycereus Sp.
Cardon,Pachycereus Sp.
Moonstones,Pachyphytum Bracteosum
Sedum Adolphii,Sedum Adolphii
Burro'S Tail,Sedum Morganianum
Silver Torch,Cleistocactus Hyalacanthus
Ocotillo,Fouquieria Splendens
Living Rock Cactus,Ariocarpus Fissuratus
Adenia Spinosa,Adenia Spinosa
Graskop Aloe,Aloe Alooides
Octopus Aloe,Aloe Arborescens
Mountain Aloe,Aloe Broomii
Bitter Aloe,Aloe Ferox
Tree Aloe,Aloe Krapohliana
Climbing Aloe,Aloiampelos Ciliaris
Boophane Disticha,Boophane Disticha
Climbing Onion,Bowiea Volubilis
Silver Jade Plant,Crassula  Arborescens
Jade Plant,Crassula Ovata
Hobbit Jade,Crassula Ovata 'Hobbit'
Namibian Grape,Cyphostemma Juttae
Euphorbia Horrida 'Snowflake',Euphorbia Horrida 'Snowflake'
Living Baseball,Euphorbia Obesa
Gasteria Excelsa,Gasteria Excelsa
White Paintbrush,Haemanthus Albiflos
Lithops Geyeri,Lithops Geyeri
Lithops Hookeri,Lithops Hookeri
Pachypodium Saundersii,Pachypodium Saundersii
Curio Ficoides,Curio Ficoides
Inch Worm Plant,Kleinia Stapeliiformis
Bird Of Paradise,Strelitzia Juncea
Butter Tree,Tylecodon Paniculatus
Welwitschia,Welwitschia Mirabilis
Begonia Ruhlandiana,Begonia Ruhlandiana
Heart Of Flame,Bromelia Balansae
Cleistocactus Sp.,Cleistocactus Sp.
Copiapoa Coquimbana,Copiapoa Coquimbana
Copiapoa Hypogaea,Copiapoa Hypogaea
Copiapoa Lembeckei,Copiapoa Lembeckei
Dyckia Sp.,Dyckia Sp.
Red Torch Cactus,Echinopsis Huascha
Easter Lily Cactus,Echinopsis Sp.
Gymnocalycium Saglionis,Gymnocalycium Saglionis
Parodia Magnifica,Parodia Magnifica
Old Man Of The Mountain,Oreocereus Trollii
Pilosocereus Sp.,Pilosocereus Sp.
Pinecone Cactus,Tephrocactus Articulatus
Ubelmannia Pectinifera,Ubelmannia Pectinifera
Zebra Aloe,Aloe Macrocarpa
Quiver Tree,Aloidendron Dichotomum
Tom Thumb,Crassula 'Tom Thumb'
Baseball Bat,Dracaena Hallii
Fockea Edulis,Fockea Edulis
Fairy Washboard,Haworthiopsis Limifolia
Goldenball Cactus,Parodia Leninghausii 
Wooly Lip Fern,Hemionitis Bradburyi
Pelargonium,Pelargonium Carnosum 
Blue Yucca,Yucca Baccata
Barometer Bush,Leucophyllum Frutescens
Opuntia Sp.,Opuntia Sp.
Lechuguilla,Agave Lechuguilla
Cholla,Cylindropuntia Sp.
Creosote Bush,Larrea Tridentata
Purple-Fruited Prickly Pear,Opuntia Phaecantha
Santa Rita Prickly Pear,Opuntia Santa-Rita 'Tubac'
Jojoba,Simmondsia Chinensis
Spanish Dagger,Yucca Faxoniana
Beaver Tail Cactus,Opuntia Basilaris
Baby Rita,Opuntia Basilaris Hyb. 'Baby Rita'
Cabbage Head Agave,Agave Parrasana
Desert Willow,Chilopsis Linearis
Candelilla,Euphorbia Antisyphilitica 
Crown Of Thorns,Euphorbia Milii
